LEI,Legal Name,Parent LEI,Parent Legal Name
2138001AOC3QUTY9SA42,EMERGING MARKETS GREEN BOND,N/A,N/A
2138001AOL6SP2GLH308,THE PETER PRESS PENSION SCHEME,N/A,N/A
2138001ANAG2796Z9R02,"X.L. AMERICA, INC.",213800A6DQAVMYLE1L84,XL FINANCIAL HOLDINGS (IRELAND) LIMITED
2138001AP1XFLLL4VR60,T H ALGER WILL TRUST,N/A,N/A
2138001API6RAN343T38,ASHOKA FUND,N/A,N/A
2138001AOTYNDHI5BK23,T R GURR WILL TRUST,N/A,N/A
2138001AQLYO3FUD7K80,MELROSE COURT (CARDIFF) LIMITED,N/A,N/A
2138001AQD8PNXYLP868,ENERGY-LED DESIGNS LIMITED,N/A,N/A
2138001APVKBIJAQW577,HOLT WILL TRUST - CAMILLA'S FUND,N/A,N/A
2138001AQ8XJ6IDKIJ19,POORT VAN BEVEREN,N/A,N/A
2138001AOSQ8ZC2BFS91,WILL OF JOHN HANBURY SMITH-CARINGTON,N/A,N/A
2138001AQETVRZ8UW369,THE BLACKADDER HOUSTON CHARITABLE TRUST,N/A,N/A
2138001AQUENV5IUNW88,THE BLANCHE SETTLEMENT,N/A,N/A
2138001AQQTZMGBARO15,BNP PARIBAS EUROPEAN JUNIOR INFRA DEBT FUND I,N/A,N/A
2138001AREPDTJ94RZ92,EUROBRIDGE DEVELOPMENTS LIMITED,N/A,N/A
2138001AQJ653LWCTE24,CABOSSE NATURALS SWITZERLAND AG,213800Y5RWKLDPUTT265,BARRY CALLEBAUT AG
2138001AQZ83APCS6I59,AXA GROUP OPERATIONS UK LIMITED,F5WCUMTUM4RKZ1MAIE39,AXA
2138001AR1RSBJ9Z3680,BUTTERFIELD CUSTODY SERVICES LTD.,2138007LUPBTFEH45U88,BUTTERFIELD BANK (GUERNSEY) LIMITED
2138001ARHNKQCVOBU34,HRGT CROSSLANDS HOLDCO (UK) LTD,N/A,N/A
2138001AS79ZJR8GSF94,TRUSTEES OF D C THWAITES DECEASED WILL TRUST,N/A,N/A
2138001ASSGUPRPN9V47,ROVVAN LTD,N/A,N/A
2138001AS9IOQB7U5P81,THE JOHN MAGNESS LIMITED RETIREMENT BENEFIT SCHEME,N/A,N/A
2138001ASKM4QFHXM276,GW & J JOHNSTONE SETTLEMENT FOR M JOHNSTONE (J047),N/A,N/A
2138001ARWEYTUOQEF51,SHEILA HIND TRUST,N/A,N/A
2138001ARO3BJ73NQ789,THE VICKERY FAMILY TRUST,N/A,N/A
